"","name","Rank","year","value","lastYear"
"637","Saint Kitts and Nevis",24,2006,10.8,10.8
"638","Serbia",24,2006,8.52,8.52
"639","Guyana",25,2006,4.99,4.99
"640","Peru",25,2006,4.67,4.67
"641","Austria",1,2005,12.4,12.4
"642","Croatia",1,2005,11.58,11.58
"643","Estonia",1,2005,14.7,14.7
"644","France",1,2005,12.6,12.6
"645","Hungary",1,2005,12.94,12.94
"646","Ireland",1,2005,13.42,13.42
"647","Portugal",1,2005,13.34,13.34
"648","Republic of Moldova",1,2005,10.16,10.16
"649","Slovenia",1,2005,11.19,11.19
"650","Belarus",2,2005,11.05,11.05
"651","Cook Islands",2,2005,7.9,7.9
"652","Czechia",2,2005,13.26,13.26
"653","Italy",2,2005,7.41,7.41
"654","Lithuania",2,2005,12.3,12.3
"655","Luxembourg",2,2005,12.02,12.02
"656","Spain",2,2005,11.92,11.92
"657","United States of America",2,2005,8.52,8.52
"658","Belgium",3,2005,12.21,12.21
"659","Saint Lucia",3,2005,12.1,12.1
"660","Argentina",4,2005,7.53,7.53
"661","Bahamas",4,2005,10.64,10.64
"662","Germany",4,2005,12.04,12.04
"663","Bulgaria",5,2005,10.53,10.53
"664","Romania",5,2005,9.95,9.95
"665","Gabon",6,2005,7.68,7.68
"666","Republic of Korea",6,2005,9.03,9.03
"667","Slovakia",6,2005,10.83,10.83
"668","Switzerland",6,2005,10.15,10.15
"669","Bosnia and Herzegovina",7,2005,4.53,4.53
"670","Cyprus",7,2005,11.41,11.41
"671","Rwanda",7,2005,9.31,9.31
"672","Seychelles",7,2005,8.4,8.4
"673","Latvia",8,2005,9.92,9.92
"674","Uganda",8,2005,11.41,11.41
"675","Chile",9,2005,7.57,7.57
"676","Russian Federation",10,2005,11.59,11.59
"677","Andorra",11,2005,11.96,11.96
"678","Australia",11,2005,10.3,10.3
"679","Equatorial Guinea",11,2005,7.15,7.15
"680","Poland",11,2005,9.5,9.5
"681","Denmark",12,2005,11.27,11.27
"682","Uruguay",12,2005,6.35,6.35
"683","New Zealand",13,2005,9.33,9.33
"684","United Arab Emirates",13,2005,1.62,1.62
"685","Greece",14,2005,10.03,10.03
"686","Kazakhstan",14,2005,6.73,6.73
"687","Niue",14,2005,6.22,6.22
"688","Paraguay",14,2005,5.98,5.98
"689","Zambia",16,2005,2.25,2.25
"690","United Kingdom of Great Britain and Northern Ireland",17,2005,11.37,11.37
"691","Nigeria",18,2005,11.16,11.16
"692","South Africa",18,2005,8.94,8.94
"693","Haiti",19,2005,5.34,5.34
"694","Sao Tome and Principe",19,2005,5.5,5.5
"695","Burundi",20,2005,5.54,5.54
"696","Eswatini",20,2005,5.03,5.03
"697","Netherlands",20,2005,9.67,9.67
"698","Dominica",21,2005,8.12,8.12
"699","Grenada",21,2005,8.79,8.79
"700","Canada",22,2005,8,8
"701","Saint Kitts and Nevis",24,2005,10.03,10.03
"702","Serbia",24,2005,0,0
"703","Guyana",25,2005,5.22,5.22
"704","Peru",25,2005,4.96,4.96
"705","Austria",1,2004,12.1,12.1
"706","Croatia",1,2004,13.12,13.12
"707","Estonia",1,2004,13.23,13.23
"708","France",1,2004,13.18,13.18
"709","Hungary",1,2004,0,0
"710","Ireland",1,2004,13.14,13.14
"711","Portugal",1,2004,13.47,13.47
"712","Republic of Moldova",1,2004,11.77,11.77
"713","Slovenia",1,2004,10.01,10.01
"714","Belarus",2,2004,12.08,12.08
"715","Cook Islands",2,2004,8.27,8.27
"716","Czechia",2,2004,13.31,13.31
"717","Italy",2,2004,8.98,8.98
"718","Lithuania",2,2004,12.1,12.1
"719","Luxembourg",2,2004,12.42,12.42
"720","Spain",2,2004,11.68,11.68
"721","United States of America",2,2004,8.48,8.48
"722","Belgium",3,2004,12.06,12.06
"723","Saint Lucia",3,2004,11.64,11.64
"724","Argentina",4,2004,7.63,7.63
"725","Bahamas",4,2004,9.98,9.98
"726","Germany",4,2004,11.83,11.83
"727","Bulgaria",5,2004,10.97,10.97
"728","Romania",5,2004,9.82,9.82
"729","Gabon",6,2004,8.1,8.1
"730","Republic of Korea",6,2004,9.18,9.18
"731","Slovakia",6,2004,10.03,10.03
"732","Switzerland",6,2004,10.55,10.55
"733","Bosnia and Herzegovina",7,2004,4.22,4.22
"734","Cyprus",7,2004,13.03,13.03
"735","Rwanda",7,2004,7.9,7.9
"736","Seychelles",7,2004,7.15,7.15
"737","Latvia",8,2004,8.81,8.81
"738","Uganda",8,2004,11.15,11.15
"739","Chile",9,2004,6.98,6.98
"740","Russian Federation",10,2004,11.5,11.5
"741","Andorra",11,2004,10.8,10.8
"742","Australia",11,2004,9.84,9.84
"743","Equatorial Guinea",11,2004,7.72,7.72
"744","Poland",11,2004,9.19,9.19
"745","Denmark",12,2004,11.27,11.27
"746","Uruguay",12,2004,5.66,5.66
"747","New Zealand",13,2004,9.17,9.17
"748","United Arab Emirates",13,2004,1.58,1.58
"749","Greece",14,2004,9.6,9.6
"750","Kazakhstan",14,2004,6.39,6.39
"751","Niue",14,2004,6.8,6.8
"752","Paraguay",14,2004,5.62,5.62
"753","Zambia",16,2004,2.39,2.39
"754","United Kingdom of Great Britain and Northern Ireland",17,2004,11.55,11.55
"755","Nigeria",18,2004,11.25,11.25
"756","South Africa",18,2004,8.04,8.04
"757","Haiti",19,2004,6.13,6.13
"758","Sao Tome and Principe",19,2004,5.94,5.94
"759","Burundi",20,2004,5.81,5.81
"760","Eswatini",20,2004,5.93,5.93
"761","Netherlands",20,2004,9.56,9.56
"762","Dominica",21,2004,8.42,8.42
"763","Grenada",21,2004,8.38,8.38
"764","Canada",22,2004,7.8,7.8
"765","Saint Kitts and Nevis",24,2004,9.14,9.14
"766","Serbia",24,2004,0,0
"767","Guyana",25,2004,8.06,8.06
"768","Peru",25,2004,4.7,4.7
"769","Austria",1,2003,12.2,12.2
"770","Croatia",1,2003,13.8,13.8
"771","Estonia",1,2003,11.55,11.55
"772","France",1,2003,13.49,13.49
"773","Hungary",1,2003,13.24,13.24
"774","Ireland",1,2003,13.07,13.07
"775","Portugal",1,2003,14.21,14.21
"776","Republic of Moldova",1,2003,7.76,7.76
"777","Slovenia",1,2003,11.55,11.55
"778","Belarus",2,2003,11.17,11.17
"779","Cook Islands",2,2003,8.71,8.71
"780","Czechia",2,2003,13.88,13.88
"781","Italy",2,2003,9.3,9.3
"782","Lithuania",2,2003,11.29,11.29
"783","Luxembourg",2,2003,12.61,12.61
"784","Spain",2,2003,11.35,11.35
"785","United States of America",2,2003,8.4,8.4
"786","Belgium",3,2003,11.31,11.31
"787","Saint Lucia",3,2003,12.55,12.55
"788","Argentina",4,2003,7.62,7.62
"789","Bahamas",4,2003,10.68,10.68
"790","Germany",4,2003,11.92,11.92
"791","Bulgaria",5,2003,11.19,11.19
"792","Romania",5,2003,8.78,8.78
"793","Gabon",6,2003,6.45,6.45
"794","Republic of Korea",6,2003,9.66,9.66
"795","Slovakia",6,2003,9.85,9.85
"796","Switzerland",6,2003,10.82,10.82
"797","Bosnia and Herzegovina",7,2003,4.12,4.12
"798","Cyprus",7,2003,10.62,10.62
"799","Rwanda",7,2003,8.73,8.73
"800","Seychelles",7,2003,7.36,7.36
"801","Latvia",8,2003,8.24,8.24
"802","Uganda",8,2003,11.45,11.45
"803","Chile",9,2003,7.25,7.25
"804","Russian Federation",10,2003,11.32,11.32
"805","Andorra",11,2003,10.97,10.97
"806","Australia",11,2003,9.97,9.97
"807","Equatorial Guinea",11,2003,7.14,7.14
"808","Poland",11,2003,9.06,9.06
"809","Denmark",12,2003,11.54,11.54
"810","Uruguay",12,2003,5.11,5.11
"811","New Zealand",13,2003,8.93,8.93
"812","United Arab Emirates",13,2003,1.56,1.56
"813","Greece",14,2003,9.49,9.49
"814","Kazakhstan",14,2003,6.42,6.42
"815","Niue",14,2003,8.27,8.27
"816","Paraguay",14,2003,4.76,4.76
"817","Zambia",16,2003,2.28,2.28
"818","United Kingdom of Great Britain and Northern Ireland",17,2003,11.25,11.25
"819","Nigeria",18,2003,11.25,11.25
"820","South Africa",18,2003,8.22,8.22
"821","Haiti",19,2003,6.67,6.67
"822","Sao Tome and Principe",19,2003,6.73,6.73
"823","Burundi",20,2003,5.94,5.94
"824","Eswatini",20,2003,5.76,5.76
"825","Netherlands",20,2003,9.56,9.56
"826","Dominica",21,2003,7.15,7.15
"827","Grenada",21,2003,9.76,9.76
"828","Canada",22,2003,7.8,7.8
"829","Saint Kitts and Nevis",24,2003,8.54,8.54
"830","Serbia",24,2003,0,0
"831","Guyana",25,2003,8.11,8.11
"832","Peru",25,2003,4.75,4.75
"833","Austria",1,2002,12.5,12.5
"834","Croatia",1,2002,14.83,14.83
"835","Estonia",1,2002,10.36,10.36
"836","France",1,2002,13.78,13.78
"837","Hungary",1,2002,13.28,13.28
"838","Ireland",1,2002,13.98,13.98
"839","Portugal",1,2002,13.23,13.23
"840","Republic of Moldova",1,2002,6.44,6.44
"841","Slovenia",1,2002,9.87,9.87
"842","Belarus",2,2002,12.23,12.23
"843","Cook Islands",2,2002,1.29,1.29
"844","Czechia",2,2002,13.72,13.72
"845","Italy",2,2002,9.25,9.25
"846","Lithuania",2,2002,11,11
"847","Luxembourg",2,2002,12.91,12.91
"848","Spain",2,2002,10.74,10.74
"849","United States of America",2,2002,8.33,8.33
"850","Belgium",3,2002,11.33,11.33
"851","Saint Lucia",3,2002,11.85,11.85
"852","Argentina",4,2002,7.81,7.81
"853","Bahamas",4,2002,10.83,10.83
"854","Germany",4,2002,12.25,12.25
"855","Bulgaria",5,2002,10.61,10.61
"856","Romania",5,2002,9.62,9.62
"857","Gabon",6,2002,8.3,8.3
"858","Republic of Korea",6,2002,9.55,9.55
"859","Slovakia",6,2002,10.78,10.78
"860","Switzerland",6,2002,10.85,10.85
"861","Bosnia and Herzegovina",7,2002,3.89,3.89
"862","Cyprus",7,2002,11.68,11.68
"863","Rwanda",7,2002,9.27,9.27
"864","Seychelles",7,2002,7.84,7.84
"865","Latvia",8,2002,7.44,7.44
"866","Uganda",8,2002,11.71,11.71
"867","Chile",9,2002,6.88,6.88
"868","Russian Federation",10,2002,10.87,10.87
"869","Andorra",11,2002,11.53,11.53
"870","Australia",11,2002,9.84,9.84
"871","Equatorial Guinea",11,2002,6.03,6.03
"872","Poland",11,2002,8.02,8.02
"873","Denmark",12,2002,11.33,11.33
"874","Uruguay",12,2002,5.86,5.86
"875","New Zealand",13,2002,9.1,9.1
"876","United Arab Emirates",13,2002,1.59,1.59
"877","Greece",14,2002,8.67,8.67
"878","Kazakhstan",14,2002,5.94,5.94
"879","Niue",14,2002,5.16,5.16
"880","Paraguay",14,2002,5.02,5.02
"881","Zambia",16,2002,2.41,2.41
"882","United Kingdom of Great Britain and Northern Ireland",17,2002,11.31,11.31
"883","Nigeria",18,2002,11.02,11.02
"884","South Africa",18,2002,8.4,8.4
"885","Haiti",19,2002,6.13,6.13
"886","Sao Tome and Principe",19,2002,5.99,5.99
"887","Burundi",20,2002,6.08,6.08
"888","Eswatini",20,2002,5.64,5.64
"889","Netherlands",20,2002,9.68,9.68
"890","Dominica",21,2002,8.36,8.36
"891","Grenada",21,2002,10.75,10.75
"892","Canada",22,2002,7.7,7.7
"893","Saint Kitts and Nevis",24,2002,8.29,8.29
"894","Serbia",24,2002,0,0
"895","Guyana",25,2002,7.85,7.85
"896","Peru",25,2002,4.06,4.06
"897","Austria",1,2001,12.4,12.4
"898","Croatia",1,2001,14.56,14.56
"899","Estonia",1,2001,9.22,9.22
"900","France",1,2001,13.89,13.89
"901","Hungary",1,2001,13.18,13.18
"902","Ireland",1,2001,14.06,14.06
"903","Portugal",1,2001,13.41,13.41
"904","Republic of Moldova",1,2001,10.78,10.78
"905","Slovenia",1,2001,11.58,11.58
"906","Belarus",2,2001,10.74,10.74
"907","Cook Islands",2,2001,2.69,2.69
"908","Czechia",2,2001,13.75,13.75
"909","Italy",2,2001,9.68,9.68
"910","Lithuania",2,2001,10.2,10.2
"911","Luxembourg",2,2001,12.89,12.89
"912","Spain",2,2001,12.35,12.35
"913","United States of America",2,2001,8.25,8.25
"914","Belgium",3,2001,11.05,11.05
"915","Saint Lucia",3,2001,12.02,12.02
"916","Argentina",4,2001,7.76,7.76
"917","Bahamas",4,2001,11.62,11.62
"918","Germany",4,2001,12.46,12.46
"919","Bulgaria",5,2001,11.21,11.21
"920","Romania",5,2001,9.78,9.78
"921","Gabon",6,2001,9.26,9.26
"922","Republic of Korea",6,2001,11.45,11.45
"923","Slovakia",6,2001,10.73,10.73
"924","Switzerland",6,2001,11.12,11.12
"925","Bosnia and Herzegovina",7,2001,3.95,3.95
"926","Cyprus",7,2001,10.16,10.16
"927","Rwanda",7,2001,9.4,9.4
"928","Seychelles",7,2001,7.09,7.09
"929","Latvia",8,2001,6.68,6.68
"930","Uganda",8,2001,11.87,11.87
"931","Chile",9,2001,6.94,6.94
"932","Russian Federation",10,2001,10.47,10.47
"933","Andorra",11,2001,12.03,12.03
"934","Australia",11,2001,9.53,9.53
"935","Equatorial Guinea",11,2001,5.09,5.09
"936","Poland",11,2001,7.74,7.74
"937","Denmark",12,2001,11.55,11.55
"938","Uruguay",12,2001,6.48,6.48
"939","New Zealand",13,2001,8.7,8.7
"940","United Arab Emirates",13,2001,1.61,1.61
"941","Greece",14,2001,9.32,9.32
"942","Kazakhstan",14,2001,5.66,5.66
"943","Niue",14,2001,9.17,9.17
"944","Paraguay",14,2001,5.82,5.82
"945","Zambia",16,2001,2.59,2.59
"946","United Kingdom of Great Britain and Northern Ireland",17,2001,11.29,11.29
"947","Nigeria",18,2001,11.1,11.1
"948","South Africa",18,2001,8.67,8.67
"949","Haiti",19,2001,6.24,6.24
"950","Sao Tome and Principe",19,2001,5.2,5.2
"951","Burundi",20,2001,6.19,6.19
"952","Eswatini",20,2001,6.74,6.74
"953","Netherlands",20,2001,9.95,9.95
"954","Dominica",21,2001,8.62,8.62
"955","Grenada",21,2001,9.64,9.64
"956","Canada",22,2001,7.7,7.7
"957","Saint Kitts and Nevis",24,2001,8.55,8.55
"958","Serbia",24,2001,0,0
"959","Guyana",25,2001,6.78,6.78
"960","Peru",25,2001,4.22,4.22
"961","Austria",1,2000,13.2,13.2
"962","Croatia",1,2000,14.06,14.06
"963","Estonia",1,2000,7.9,7.9
"964","France",1,2000,13.63,13.63
"965","Hungary",1,2000,12.23,12.23
"966","Ireland",1,2000,13.87,13.87
"967","Portugal",1,2000,13.08,13.08
"968","Republic of Moldova",1,2000,9.77,9.77
"969","Slovenia",1,2000,12.8,12.8
"970","Belarus",2,2000,12.92,12.92
"971","Cook Islands",2,2000,4.2,4.2
"972","Czechia",2,2000,13.98,13.98
"973","Italy",2,2000,9.78,9.78
"974","Lithuania",2,2000,9.87,9.87
"975","Luxembourg",2,2000,13.14,13.14
"976","Spain",2,2000,11.84,11.84
"977","United States of America",2,2000,8.21,8.21
"978","Belgium",3,2000,11.25,11.25
"979","Saint Lucia",3,2000,11.69,11.69
"980","Argentina",4,2000,7.68,7.68
"981","Bahamas",4,2000,12.19,12.19
"982","Germany",4,2000,12.91,12.91
"983","Bulgaria",5,2000,10.08,10.08
"984","Romania",5,2000,10.16,10.16
"985","Gabon",6,2000,8.84,8.84
"986","Republic of Korea",6,2000,10.33,10.33
"987","Slovakia",6,2000,11.06,11.06
"988","Switzerland",6,2000,11.26,11.26
"989","Bosnia and Herzegovina",7,2000,3.69,3.69
"990","Cyprus",7,2000,9.56,9.56
"991","Rwanda",7,2000,8.82,8.82
"992","Seychelles",7,2000,8.17,8.17
"993","Latvia",8,2000,7.13,7.13
"994","Uganda",8,2000,11.73,11.73
"995","Chile",9,2000,7.09,7.09
"996","Russian Federation",10,2000,10.18,10.18
"997","Andorra",11,2000,11.96,11.96
"998","Australia",11,2000,10.17,10.17
"999","Equatorial Guinea",11,2000,4.44,4.44
"1000","Poland",11,2000,8.4,8.4
"1001","Denmark",12,2000,11.68,11.68
"1002","Uruguay",12,2000,6.65,6.65
"1003","New Zealand",13,2000,8.84,8.84
"1004","United Arab Emirates",13,2000,1.63,1.63
"1005","Greece",14,2000,9.16,9.16
"1006","Kazakhstan",14,2000,6,6
"1007","Niue",14,2000,7.42,7.42
"1008","Paraguay",14,2000,6.18,6.18
"1009","Zambia",16,2000,2.62,2.62
"1010","United Kingdom of Great Britain and Northern Ireland",17,2000,10.82,10.82
"1011","Nigeria",18,2000,11.4,11.4
"1012","South Africa",18,2000,8.85,8.85
"1013","Haiti",19,2000,4.81,4.81
"1014","Sao Tome and Principe",19,2000,5.68,5.68
"1015","Burundi",20,2000,6.72,6.72
"1016","Eswatini",20,2000,7.11,7.11
"1017","Netherlands",20,2000,10.06,10.06
"1018","Dominica",21,2000,8.86,8.86
"1019","Grenada",21,2000,9.4,9.4
"1020","Canada",22,2000,7.7,7.7
"1021","Saint Kitts and Nevis",24,2000,8.41,8.41
"1022","Serbia",24,2000,0,0
"1023","Guyana",25,2000,6.7,6.7
"1024","Peru",25,2000,4.87,4.87
"1025","Austria",1,1999,12.8,12.8
"1026","Croatia",1,1999,12.15,12.15
"1027","Estonia",1,1999,8.85,8.85
"1028","France",1,1999,13.15,13.15
"1029","Hungary",1,1999,12.09,12.09
"1030","Ireland",1,1999,14.95,14.95
"1031","Portugal",1,1999,13.18,13.18
"1032","Republic of Moldova",1,1999,14.37,14.37
"1033","Slovenia",1,1999,12.28,12.28
"1034","Belarus",2,1999,12.72,12.72
"1035","Cook Islands",2,1999,1.04,1.04
"1036","Czechia",2,1999,13.85,13.85
"1037","Italy",2,1999,8.86,8.86
"1038","Lithuania",2,1999,6.75,6.75
"1039","Luxembourg",2,1999,12.92,12.92
"1040","Spain",2,1999,11.33,11.33
"1041","United States of America",2,1999,8.21,8.21
"1042","Belgium",3,1999,10.1,10.1
"1043","Saint Lucia",3,1999,11.91,11.91
"1044","Argentina",4,1999,9.21,9.21
"1045","Bahamas",4,1999,8.65,8.65
"1046","Germany",4,1999,12.94,12.94
"1047","Bulgaria",5,1999,7.65,7.65
"1048","Romania",5,1999,7.66,7.66
"1049","Gabon",6,1999,8.93,8.93
"1050","Republic of Korea",6,1999,9.16,9.16
"1051","Slovakia",6,1999,12.13,12.13
"1052","Switzerland",6,1999,11.05,11.05
"1053","Bosnia and Herzegovina",7,1999,8.57,8.57
"1054","Cyprus",7,1999,8.93,8.93
"1055","Rwanda",7,1999,9.6,9.6
"1056","Seychelles",7,1999,4.75,4.75
"1057","Latvia",8,1999,8.84,8.84
"1058","Uganda",8,1999,7.6,7.6
"1059","Chile",9,1999,7.61,7.61
"1060","Russian Federation",10,1999,10.7,10.7
"1061","Andorra",11,1999,0,0
"1062","Australia",11,1999,9.88,9.88
"1063","Equatorial Guinea",11,1999,1.15,1.15
"1064","Poland",11,1999,8.22,8.22
"1065","Denmark",12,1999,11.62,11.62
"1066","Uruguay",12,1999,7.94,7.94
"1067","New Zealand",13,1999,8.3,8.3
"1068","United Arab Emirates",13,1999,2.83,2.83
"1069","Greece",14,1999,9.47,9.47
"1070","Kazakhstan",14,1999,3.52,3.52
"1071","Niue",14,1999,7.44,7.44
"1072","Paraguay",14,1999,8.29,8.29
"1073","Zambia",16,1999,3.1,3.1
"1074","United Kingdom of Great Britain and Northern Ireland",17,1999,10.16,10.16
"1075","Nigeria",18,1999,10.34,10.34
"1076","South Africa",18,1999,10.81,10.81
"1077","Haiti",19,1999,5.73,5.73
"1078","Sao Tome and Principe",19,1999,5.73,5.73
"1079","Burundi",20,1999,6.89,6.89
"1080","Eswatini",20,1999,7.88,7.88
"1081","Netherlands",20,1999,10.06,10.06
"1082","Dominica",21,1999,7.48,7.48
"1083","Grenada",21,1999,10.08,10.08
"1084","Canada",22,1999,7.5,7.5
"1085","Saint Kitts and Nevis",24,1999,6.55,6.55
"1086","Serbia",24,1999,0,0
"1087","Guyana",25,1999,7.17,7.17
"1088","Peru",25,1999,4.05,4.05
"1089","Austria",1,1998,12.9,12.9
"1090","Croatia",1,1998,13.84,13.84
"1091","Estonia",1,1998,8.01,8.01
"1092","France",1,1998,13.27,13.27
"1093","Hungary",1,1998,12.69,12.69
"1094","Ireland",1,1998,14.44,14.44
"1095","Portugal",1,1998,12.48,12.48
"1096","Republic of Moldova",1,1998,16.87,16.87
"1097","Slovenia",1,1998,14.61,14.61
"1098","Belarus",2,1998,11.72,11.72
"1099","Cook Islands",2,1998,1.64,1.64
"1100","Czechia",2,1998,13.92,13.92
"1101","Italy",2,1998,8.98,8.98
"1102","Lithuania",2,1998,6.35,6.35
"1103","Luxembourg",2,1998,12.88,12.88
"1104","Spain",2,1998,11.58,11.58
"1105","United States of America",2,1998,8.1,8.1
"1106","Belgium",3,1998,9.92,9.92
"1107","Saint Lucia",3,1998,10.85,10.85
"1108","Argentina",4,1998,9.21,9.21
"1109","Bahamas",4,1998,9.78,9.78
"1110","Germany",4,1998,12.74,12.74
"1111","Bulgaria",5,1998,7.86,7.86
"1112","Romania",5,1998,7.28,7.28
"1113","Gabon",6,1998,8.67,8.67
"1114","Republic of Korea",6,1998,8.65,8.65
"1115","Slovakia",6,1998,12.13,12.13
"1116","Switzerland",6,1998,11.07,11.07
"1117","Bosnia and Herzegovina",7,1998,8.37,8.37
"1118","Cyprus",7,1998,8.68,8.68
"1119","Rwanda",7,1998,9.97,9.97
"1120","Seychelles",7,1998,4.77,4.77
"1121","Latvia",8,1998,8.94,8.94
"1122","Uganda",8,1998,7.98,7.98
"1123","Chile",9,1998,7.25,7.25
"1124","Russian Federation",10,1998,9.87,9.87
"1125","Andorra",11,1998,0,0
"1126","Australia",11,1998,9.79,9.79
"1127","Equatorial Guinea",11,1998,2.68,2.68
"1128","Poland",11,1998,8.32,8.32
"1129","Denmark",12,1998,11.69,11.69
"1130","Uruguay",12,1998,7.81,7.81
"1131","New Zealand",13,1998,8.13,8.13
"1132","United Arab Emirates",13,1998,2.54,2.54
"1133","Greece",14,1998,9.03,9.03
"1134","Kazakhstan",14,1998,3.89,3.89
"1135","Niue",14,1998,5.4,5.4
"1136","Paraguay",14,1998,9.61,9.61
"1137","Zambia",16,1998,2.97,2.97
"1138","United Kingdom of Great Britain and Northern Ireland",17,1998,10.14,10.14
"1139","Nigeria",18,1998,10.31,10.31
"1140","South Africa",18,1998,10.6,10.6
"1141","Haiti",19,1998,5.87,5.87
"1142","Sao Tome and Principe",19,1998,6.47,6.47
"1143","Burundi",20,1998,7.39,7.39
"1144","Eswatini",20,1998,7.47,7.47
"1145","Netherlands",20,1998,9.93,9.93
"1146","Dominica",21,1998,7.51,7.51
"1147","Grenada",21,1998,10.1,10.1
"1148","Canada",22,1998,7.3,7.3
"1149","Saint Kitts and Nevis",24,1998,6.25,6.25
"1150","Serbia",24,1998,0,0
"1151","Guyana",25,1998,7.82,7.82
"1152","Peru",25,1998,4.32,4.32
"1153","Austria",1,1997,12.9,12.9
"1154","Croatia",1,1997,13.21,13.21
"1155","Estonia",1,1997,8.3,8.3
"1156","France",1,1997,13.31,13.31
"1157","Hungary",1,1997,12.51,12.51
"1158","Ireland",1,1997,14.18,14.18
"1159","Portugal",1,1997,12.58,12.58
"1160","Republic of Moldova",1,1997,16.4,16.4
"1161","Slovenia",1,1997,11.44,11.44
"1162","Belarus",2,1997,11.02,11.02
"1163","Cook Islands",2,1997,3.31,3.31
"1164","Czechia",2,1997,14.05,14.05
"1165","Italy",2,1997,9.12,9.12
"1166","Lithuania",2,1997,7.34,7.34
"1167","Luxembourg",2,1997,13.03,13.03
"1168","Spain",2,1997,11.69,11.69
"1169","United States of America",2,1997,8.1,8.1
"1170","Belgium",3,1997,10.92,10.92
"1171","Saint Lucia",3,1997,10.49,10.49
"1172","Argentina",4,1997,10.25,10.25
"1173","Bahamas",4,1997,10.27,10.27
"1174","Germany",4,1997,13,13
"1175","Bulgaria",5,1997,8.13,8.13
"1176","Romania",5,1997,8.74,8.74
"1177","Gabon",6,1997,9.41,9.41
"1178","Republic of Korea",6,1997,8.69,8.69
"1179","Slovakia",6,1997,13.09,13.09
"1180","Switzerland",6,1997,11.21,11.21
"1181","Bosnia and Herzegovina",7,1997,10,10
"1182","Cyprus",7,1997,8.33,8.33
"1183","Rwanda",7,1997,9.36,9.36
"1184","Seychelles",7,1997,4.56,4.56
"1185","Latvia",8,1997,8.36,8.36
"1186","Uganda",8,1997,7.72,7.72
"1187","Chile",9,1997,6.57,6.57
"1188","Russian Federation",10,1997,9.25,9.25
"1189","Andorra",11,1997,0,0
"1190","Australia",11,1997,9.91,9.91
"1191","Equatorial Guinea",11,1997,2.74,2.74
"1192","Poland",11,1997,8.51,8.51
"1193","Denmark",12,1997,12.2,12.2
"1194","Uruguay",12,1997,7.82,7.82
"1195","New Zealand",13,1997,8.29,8.29
"1196","United Arab Emirates",13,1997,2.9,2.9
"1197","Greece",14,1997,9.5,9.5
"1198","Kazakhstan",14,1997,3.4,3.4
"1199","Niue",14,1997,6.06,6.06
"1200","Paraguay",14,1997,10.49,10.49
"1201","Zambia",16,1997,3.01,3.01
"1202","United Kingdom of Great Britain and Northern Ireland",17,1997,9.97,9.97
"1203","Nigeria",18,1997,9.88,9.88
"1204","South Africa",18,1997,10.77,10.77
"1205","Haiti",19,1997,6,6
"1206","Sao Tome and Principe",19,1997,4.89,4.89
"1207","Burundi",20,1997,8.92,8.92
"1208","Eswatini",20,1997,8.26,8.26
"1209","Netherlands",20,1997,10.05,10.05
"1210","Dominica",21,1997,8.42,8.42
"1211","Grenada",21,1997,9.39,9.39
"1212","Canada",22,1997,7.2,7.2
"1213","Saint Kitts and Nevis",24,1997,5.61,5.61
"1214","Serbia",24,1997,0,0
"1215","Guyana",25,1997,6.54,6.54
"1216","Peru",25,1997,4.62,4.62
"1217","Austria",1,1996,13.5,13.5
"1218","Croatia",1,1996,11.1,11.1
"1219","Estonia",1,1996,7.97,7.97
"1220","France",1,1996,13.77,13.77
"1221","Hungary",1,1996,12.55,12.55
"1222","Ireland",1,1996,13.66,13.66
"1223","Portugal",1,1996,12.84,12.84
"1224","Republic of Moldova",1,1996,16.44,16.44
"1225","Slovenia",1,1996,12.6,12.6
"1226","Belarus",2,1996,10.45,10.45
"1227","Cook Islands",2,1996,2.21,2.21
"1228","Czechia",2,1996,13.78,13.78
"1229","Italy",2,1996,9.13,9.13
"1230","Lithuania",2,1996,7.13,7.13
"1231","Luxembourg",2,1996,13.31,13.31
"1232","Spain",2,1996,10.86,10.86
"1233","United States of America",2,1996,8.18,8.18
"1234","Belgium",3,1996,10.94,10.94
"1235","Saint Lucia",3,1996,10.85,10.85
"1236","Argentina",4,1996,9.93,9.93
"1237","Bahamas",4,1996,10.3,10.3
"1238","Germany",4,1996,13.12,13.12
"1239","Bulgaria",5,1996,9.18,9.18
"1240","Romania",5,1996,8.05,8.05
"1241","Gabon",6,1996,8.7,8.7
"1242","Republic of Korea",6,1996,8.77,8.77
"1243","Slovakia",6,1996,12.86,12.86
"1244","Switzerland",6,1996,11.33,11.33
"1245","Bosnia and Herzegovina",7,1996,9.68,9.68
"1246","Cyprus",7,1996,8.49,8.49
"1247","Rwanda",7,1996,9.86,9.86
"1248","Seychelles",7,1996,4.57,4.57
"1249","Latvia",8,1996,8.37,8.37
"1250","Uganda",8,1996,7.84,7.84
"1251","Chile",9,1996,7.43,7.43
"1252","Russian Federation",10,1996,9.21,9.21
"1253","Andorra",11,1996,0,0
"1254","Australia",11,1996,9.77,9.77
"1255","Equatorial Guinea",11,1996,2.8,2.8
"1256","Poland",11,1996,7.91,7.91
"1257","Denmark",12,1996,12.27,12.27
"1258","Uruguay",12,1996,7.96,7.96
"1259","New Zealand",13,1996,9.94,9.94
"1260","United Arab Emirates",13,1996,2.68,2.68
"1261","Greece",14,1996,9.67,9.67
"1262","Kazakhstan",14,1996,3.08,3.08
